CODE,CNT,MATHLP_perc,READLP_perc,SCIELP_perc,LPANY_perc,LPALL_perc,Math,Oher
CHN,China-Shanghai,0.035860817,0.026307722,0.026319775,0.043898928,0.016337636,0.019523181,0.00803811
HKG,Hong Kong-China,0.080237474,0.06248902,0.05214618,0.098414237,0.038003784,0.042233691,0.018176763
KOR,Korea,0.08934385,0.072462738,0.061207573,0.109055098,0.043537184,0.045806666,0.019711248
SGP,Singapore,0.079356284,0.093140158,0.093402273,0.123871097,0.057377337,0.021978947,0.044514813
EST,Estonia,0.098450265,0.083777366,0.042149994,0.128636201,0.028918235,0.06953203,0.030185936
JPN,Japan,0.105503615,0.09083559,0.076872089,0.1309644,0.054961007,0.050542608,0.025460785
MAC,Macao-China,0.102152322,0.103713541,0.081822577,0.144090754,0.053470617,0.048681705,0.041938432
FIN,Finland,0.116301757,0.10773294,0.070027494,0.150467667,0.054177473,0.062124283,0.03416591
TWN,Chinese Taipei,0.126571866,0.111931508,0.092847378,0.150964919,0.073509498,0.053062369,0.024393053
VNM,Vietnam,0.134284152,0.082459954,0.060182869,0.154720371,0.040552349,0.093731803,0.020436219
POL,Poland,0.13898108,0.097461082,0.081231614,0.163373079,0.05567865,0.08330243,0.024391998
CAN,Canada,0.129524517,0.100354238,0.098927796,0.163425187,0.062292551,0.067231965,0.033900671
CHE,Switzerland,0.117663007,0.129489488,0.120863977,0.177154322,0.073423034,0.044239973,0.059491315
LIE,Liechtenstein,0.126790962,0.122308482,0.103963595,0.180403012,0.061773189,0.065017772,0.053612051
IRL,Ireland,0.16327497,0.089233346,0.104561729,0.181061392,0.066379046,0.096895924,0.017786422
NLD,Netherlands,0.14848274,0.132557202,0.124827351,0.186063421,0.087414445,0.061068295,0.037580681
QUC,Massachusetts (USA),0.171092417,0.104263892,0.105483054,0.196503618,0.068354537,0.10273788,0.025411201
DEU,Germany,0.174654452,0.142416081,0.117348461,0.208221524,0.086999611,0.087654842,0.033567071
DNK,Denmark,0.157877014,0.138088597,0.160803033,0.21669608,0.091398872,0.066478142,0.058819066
QUB,Connecticut (USA),0.206022628,0.128054627,0.127888918,0.223613154,0.090797344,0.115225284,0.017590525
AUS,Australia,0.190662895,0.136132862,0.130129602,0.223786293,0.090014178,0.100648718,0.033123398
BEL,Belgium,0.185215973,0.155250927,0.172606666,0.235233146,0.110029252,0.07518672,0.050017173
GBR,United Kingdom,0.211714872,0.158602159,0.144602396,0.238140339,0.113998209,0.097716663,0.026425467
LVA,Latvia,0.191230684,0.165208964,0.117990294,0.243741545,0.084275851,0.106954833,0.052510861
AUT,Austria,0.181414031,0.190282961,0.152044946,0.249993102,0.107188765,0.074225265,0.068579072
CZE,Czech Republic,0.205941608,0.157711157,0.132202101,0.251165508,0.09114175,0.114799858,0.0452239
NZL,New Zealand,0.221352639,0.153846464,0.160250345,0.253570143,0.113649329,0.10770331,0.032217504
NOR,Norway,0.218315882,0.149410886,0.188646158,0.266483618,0.109610604,0.108705278,0.048167735
FRA,France,0.221174373,0.181430982,0.183478865,0.266873952,0.129222334,0.09195204,0.045699579
SVN,Slovenia,0.20053681,0.204510902,0.121410301,0.2701763,0.095198117,0.105338693,0.06963949
ESP,Spain,0.234195887,0.173771265,0.149450475,0.275627387,0.105837608,0.128358279,0.0414315
USA,United States of America,0.256423521,0.158571472,0.177737851,0.279704259,0.12430186,0.132121661,0.023280739
PRT,Portugal,0.246073474,0.180605179,0.181108339,0.283706354,0.130531887,0.115541587,0.03763288
LTU,Lithuania,0.254406392,0.201060381,0.153583932,0.29093021,0.1240759,0.130330492,0.036523818
ISL,Iceland,0.210717665,0.201212658,0.230527765,0.291019073,0.140653223,0.070064442,0.080301408
ITA,Italy,0.241311085,0.186914877,0.181619927,0.294429714,0.12139699,0.119914096,0.053118629
QRS,Perm(Russian Federation),0.223632928,0.193427135,0.193533096,0.298628022,0.113706332,0.109926596,0.074995094
LUX,Luxembourg,0.236914759,0.214037453,0.22015915,0.300546229,0.151262473,0.085652287,0.06363147
HUN,Hungary,0.280102006,0.193349573,0.179120317,0.308296763,0.134836299,0.145265707,0.028194757
RUS,Russian Federation,0.234233426,0.213142186,0.180444084,0.309637701,0.119021867,0.115211559,0.075404275
SWE,Sweden,0.267022252,0.219530043,0.215999294,0.316654227,0.159318307,0.107703945,0.049631976
HRV,Croatia,0.296269536,0.17799941,0.162856346,0.324218583,0.115363522,0.180906014,0.027949047
QUA,Florida (USA),0.298345249,0.169297379,0.209378771,0.326029847,0.133741913,0.164603336,0.027684598
SVK,Slovak Republic,0.26928235,0.278652782,0.266354157,0.352818676,0.193957573,0.075324777,0.083536327
ISR,Israel,0.334315528,0.229032012,0.286983128,0.374510055,0.191353332,0.142962196,0.040194527
GRC,Greece,0.35561766,0.214853221,0.248855096,0.394745963,0.16637767,0.18923999,0.039128304
TUR,Turkey,0.430357628,0.206997724,0.253649195,0.455103213,0.16030812,0.270049507,0.024745586
SRB,Serbia,0.390500745,0.325537405,0.347071723,0.464305938,0.242119477,0.148381269,0.073805192
BGR,Bulgaria,0.442945036,0.391181584,0.370457128,0.503322215,0.306261723,0.136683313,0.060377179
ARE,United Arab Emirates,0.464379366,0.351091307,0.354183544,0.504743996,0.283711907,0.180667459,0.04036463
ROU,Romania,0.410484865,0.368835485,0.374807532,0.510334071,0.262735277,0.147749588,0.099849206
THA,Thailand,0.503867125,0.32118756,0.33138304,0.54206077,0.245544458,0.258322668,0.038193645
CHL,Chile,0.524020278,0.322355655,0.341121798,0.553749243,0.251792431,0.272227847,0.029728965
MEX,Mexico,0.555937914,0.401903168,0.470271079,0.622136519,0.327202123,0.228735792,0.066198605
MNE,Montenegro,0.575587808,0.427235993,0.51591783,0.624216501,0.378966481,0.196621327,0.048628693
URY,Uruguay,0.563773806,0.464784846,0.477251622,0.626393446,0.379613617,0.184160189,0.062619639
MYS,Malaysia,0.51901933,0.525485837,0.458577527,0.626815703,0.383585166,0.135434164,0.107796372
CRI,Costa Rica,0.613620951,0.30743808,0.389426181,0.641499908,0.241667152,0.371953799,0.027878957
KAZ,Kazakhstan,0.456823107,0.569587115,0.422311395,0.64641094,0.31766288,0.139160227,0.189587833
ALB,Albania,0.625566451,0.523844196,0.535075044,0.698122592,0.417667164,0.207899286,0.072556142
JOR,Jordan,0.69474703,0.504005715,0.498397552,0.722858293,0.424754051,0.269992979,0.028111263
ARG,Argentina,0.673406325,0.53556861,0.511770043,0.723665739,0.435714349,0.237691977,0.050259414
BRA,Brazil,0.68956559,0.510724422,0.559945563,0.725048172,0.445945486,0.243620105,0.035482581
QAT,Qatar,0.702705469,0.577543386,0.638932294,0.734357949,0.535278333,0.167427135,0.031652481
TUN,Tunisia,0.688962401,0.490464712,0.558885026,0.735804523,0.42061308,0.268349321,0.046842122
COL,Colombia,0.752173692,0.509826466,0.56773171,0.769493132,0.449094263,0.303079429,0.01731944
PER,Peru,0.757517691,0.601994571,0.695270636,0.796200143,0.55770915,0.199808541,0.038682452
IDN,Indonesia,0.771698796,0.560598277,0.69123662,0.812094708,0.512919116,0.25877968,0.040395913