CODE,CNT,READ_mean,READ_quant_05,READ_quant_25,READ_quant_50,READ_quant_75,READ_quant_95,READLP_perc,LPANY_perc,LPALL_perc,iso3c,GDP
ALB,Albania,393.964251939,202.23228,331.26524,400.97168,468.23746,555.70332,0.523844195894,0.698122592169,0.417667164439,ALB,10361.4332161
ARE,United Arab Emirates,441.703736076,285.442287754,377.69786,445.54242,505.9795,589.38204,0.351091307474,0.504743996015,0.283711907475,ARE,61172.9947875
ARG,Argentina,395.979122702,243.2217,334.64678,399.0296,460.54496,538.06962,0.535568609748,0.723665739287,0.435714348627,ARG,
AUS,Australia,511.803997667,350.43174,450.51448,516.312789248,577.62278,658.6459,0.13613286218,0.223786293024,0.0900141776578,AUS,42596.2941187
AUT,Austria,489.609335384,333.18992,427.73926,496.7655,556.05046,622.37132,0.190282960914,0.249993102467,0.107188765383,AUT,45858.2468364
BEL,Belgium,509.108048529,328.61882,445.06126,517.7175,582.83542,656.02466,0.155250926688,0.235233145651,0.110029252344,BEL,41930.6618333
BGR,Bulgaria,436.125725279,240.40486,354.28108,443.45738,521.6274,612.89362,0.391181583649,0.503322214802,0.306261722922,BGR,16097.8343137
BRA,Brazil,406.533157797,273.80264,350.11094,404.78436,461.89526,542.73816,0.510724422047,0.72504817179,0.445945485501,BRA,15246.2607663
CAN,Canada,523.124002967,367.51316,467.35534,528.22016,584.53676,659.74196,0.100354238312,0.163425187162,0.062292551396,CAN,42143.9687843
CHE,Switzerland,509.040249713,356.04536,452.91958,514.9107,571.11292,641.05666,0.129489487669,0.177154321796,0.0734230344478,CHE,57205.3721892
CHL,Chile,441.398163345,317.41024,389.24588,443.78502,494.1403,560.7869,0.32235565537,0.553749242646,0.251792430656,CHL,21370.0993066
CHN,China-Shanghai,569.588407749,436.0795,520.51536,576.4348,624.57,682.67758,0.0263077222087,0.0438989278176,0.0163376359208,CHN,11219.92767
COL,Colombia,403.402534102,267.7512,350.45358,404.48284,457.3677,531.6357,0.509826465724,0.769493132211,0.449094262963,COL,12058.4613037
CRI,Costa Rica,440.54781067,322.656878675,396.30298,441.05154,487.1634,555.22672,0.307438080429,0.641499908101,0.241667152177,CRI,13839.4689226
CZE,Czech Republic,492.889738211,350.59212,437.44278,495.25628,551.47936,627.42356,0.157711156906,0.251165507777,0.0911417498897,CZE,28727.9072629
DEU,Germany,507.676529766,349.06842,447.78788,514.91068,574.051874279,643.38226,0.142416080917,0.208221523659,0.0869996107723,DEU,43600.1134008
DNK,Denmark,496.130881384,352.919947592,443.77816,502.07956,553.71752,623.41384,0.13808859681,0.216696079931,0.0913988716986,DNK,44246.3306157
ESP,Spain,487.939181598,332.78894,432.7441,494.462,550.06372,621.48918,0.173771265277,0.275627386656,0.105837608022,ESP,32235.5959173
EST,Estonia,516.294184313,387.490531072,466.393,519.56213568,570.412691592,639.05178,0.0837773656256,0.128636201218,0.0289182348466,EST,25921.028597
FIN,Finland,524.021669694,366.06968,465.83164,531.19014,588.20846,661.42596,0.107732940084,0.150467666686,0.0541774734979,FIN,40437.5938723
FRA,France,505.481483378,318.28402,437.12198,515.27292,581.99496,660.47282,0.181430982286,0.266873952389,0.129222333572,FRA,37462.3250299
GBR,United Kingdom,499.32311513,334.31262,439.36744,503.83486,565.1556,644.42774,0.158602158598,0.238140338972,0.113998209475,GBR,37569.3152812
GRC,Greece,477.197176518,307.36728,419.8763,486.36004,542.43834,616.35674,0.214853220546,0.394745963166,0.166377669569,GRC,25980.0865157
HKG,Hong Kong-China,544.600085987,394.05756,494.86206,553.24364,603.04444,663.6715,0.0624890200697,0.0984142370486,0.0380037838836,HKG,51274.060314
HRV,Croatia,484.565032126,342.65286,429.18276,488.1075,543.23264,617.670515678,0.177999409697,0.324218582911,0.115363521966,HRV,21016.0187293
HUN,Hungary,488.461333958,328.93962,429.10254,494.527873949,554.51184,622.69208,0.19334957347,0.308296762854,0.134836299168,HUN,22701.4502235
IDN,Indonesia,396.120094523,278.81806,349.2288,396.70398,444.42046,511.4623,0.560598276643,0.81209470814,0.512919116072,IDN,9453.69822832
IRL,Ireland,523.173210241,379.06118,471.28486,527.18756,580.3494,652.76798,0.0892333460995,0.181061391961,0.0663790455344,IRL,46063.3445925
ISL,Iceland,482.522439928,313.733423166,425.73438,490.2045954,549.181154839,620.939425938,0.201212658233,0.291019073055,0.140653223136,ISL,40278.3870438
ISR,Israel,485.803212444,287.23846,415.62988,499.069,567.53852,645.306938346,0.229032012003,0.374510054699,0.191353331913,ISR,31993.6238428
ITA,Italy,489.754403285,321.00036,429.80514,497.63924,557.09298,629.17698,0.186914877449,0.294429714249,0.121396989505,ITA,35899.7799659
JOR,Jordan,399.034747104,247.3016,345.21112,406.161423616,459.01512,528.8556,0.50400571487,0.722858292852,0.424754051194,JOR,10432.1751003
JPN,Japan,538.05148483,370.40018,477.46376,546.9083,604.88892,678.58766,0.0908355898216,0.130964400078,0.0549610074114,JPN,35735.6167173
KAZ,Kazakhstan,392.736233327,274.99412,347.43518,393.81696,440.2106,503.27882,0.569587115074,0.64641093982,0.317662879947,KAZ,23248.9925905
KOR,Korea,535.790490356,386.3564,485.23872,543.5401,594.14284,657.77216,0.0724627382097,0.109055097718,0.0435371841662,KOR,32222.5939425
LIE,Liechtenstein,515.521654089,367.046881984,456.970674147,516.809949815,585.086413959,643.084932756,0.122308481871,0.180403012354,0.0617731893887,LIE,
LTU,Lithuania,477.30661155,335.43536,420.92272,482.91308,536.32258,604.71224,0.201060381435,0.290930210007,0.124075899604,LTU,24475.050751
LUX,Luxembourg,487.807042834,309.612739903,420.510025153,491.972391228,563.180724819,640.415098165,0.214037452639,0.300546229445,0.151262472732,LUX,90788.2865762
LVA,Latvia,488.694413789,346.26162,435.17238176,496.06494,546.1716,611.70542,0.165208964003,0.243741544864,0.0842758509376,LVA,21122.2982149
MAC,Macao-China,508.949255421,371.763464999,459.946512779,514.054964124,563.791219737,628.045174628,0.103713541228,0.144090754091,0.0534706172349,MAC,127938.918712
MEX,Mexico,423.553761782,295.73908,373.36736,425.173,475.95458,543.21934,0.401903168205,0.622136519119,0.32720212259,MEX,16289.5652781
MNE,Montenegro,422.11135427,278.49728,361.57878,423.08796,485.80402,563.80526,0.427235993415,0.624216501208,0.378966481472,MNE,13812.6959433
MYS,Malaysia,398.196059788,263.42068,345.29928,401.35522,454.7465,522.76974,0.525485837418,0.626815702638,0.38358516634,MYS,23124.6604806
NLD,Netherlands,511.229965245,353.8801,451.80752,520.12332,577.46238,643.70306,0.1325572017,0.186063421319,0.0874144453686,NLD,46448.8847992
NOR,Norway,503.936685996,334.55322,445.06126,510.49998,571.8278,648.87588,0.149410885796,0.266483617523,0.109610604338,NOR,65399.8360847
NZL,New Zealand,512.186793323,340.32722,445.06126,518.21184,585.64224,670.40168,0.153846463559,0.253570142721,0.113649329047,NZL,33065.5112359
PER,Peru,384.151223462,242.90396,321.22296,384.6089,443.07014,530.6031,0.601994570981,0.796200142958,0.557709149992,PER,11051.2537714
POL,Poland,518.186880549,372.88622,464.9495,523.53376,576.67308,646.81066,0.0974610818894,0.163373078513,0.0556786504789,POL,23598.5592764
PRT,Portugal,487.757687223,326.85456,432.82352,493.97994,552.04948,623.2991,0.180605178907,0.283706353889,0.130531887071,PRT,27125.1544348
QAT,Qatar,387.504130932,214.020861667,311.77798,385.224274978,461.81584,569.011279675,0.577543386322,0.734357949162,0.535278333292,QAT,135421.723986
QRS,Perm(Russian Federation),482.309621403,324.00304,424.61168,490.69194,546.25102,615.99142,0.193427135019,0.298628021952,0.113706331567,,
QUA,Florida (USA),492.137602029,352.91778,437.58938,496.20948,550.11604,623.8551,0.169297379482,0.326029847164,0.133741913066,,
QUB,Connecticut (USA),521.248559061,353.07816,457.4914,527.267,589.77924,667.8416,0.128054627445,0.22361315381,0.0907973438403,,
QUC,Massachusetts (USA),527.091021267,365.10732,467.19496,527.7418,592.87702,670.80878,0.104263892276,0.19650361762,0.0683545368236,,
ROU,Romania,437.599488277,300.22998,377.85826,437.98654,496.92434,578.82574,0.368835485473,0.510334071347,0.262735277199,ROU,18910.2782732
RUS,Russian Federation,475.149374067,330.4633,417.57278,476.66944,535.28006,612.8142,0.213142186176,0.309637700762,0.119021867379,RUS,25316.6357857
SGP,Singapore,542.215834174,374.52116,476.8283,548.91314,612.33762,690.85742,0.0931401576503,0.123871096605,0.0573773367899,SGP,77173.2382951
SRB,Serbia,446.130195516,294.69654,387.366315569,447.4671,506.65064,589.38204,0.325537405329,0.464305937523,0.242119476689,SRB,13000.0732947
SVK,Slovak Republic,462.76703277,275.2895,395.80866,472.85674,535.19988,614.00566,0.278652782162,0.352818676209,0.193957572697,SVK,26091.2798285
SVN,Slovenia,481.316283492,329.01982,421.663440922,484.61254,547.38944,618.61266,0.204510902066,0.270176300097,0.0951981171285,SVN,28481.7513144
SWE,Sweden,483.335005574,304.56048,418.99804,490.69192,557.60964,637.575348877,0.219530043351,0.31665422723,0.159318307115,SWE,44433.7266902
THA,Thailand,441.21993431,316.42924,392.0754,442.27582,491.04646,562.22544,0.321187560444,0.542060770138,0.245544457612,THA,14853.3296826
TUN,Tunisia,404.07846725,261.1731,350.59212,408.89352,462.2229,532.03286,0.490464711684,0.735804523214,0.420613080262,TUN,10672.5676007
TUR,Turkey,475.491466081,340.40742,419.47922,474.17188,531.15912,613.68794,0.20699772358,0.455103213397,0.160308120459,TUR,18449.250016
TWN,Chinese Taipei,523.118903908,364.38558,468.5675,532.31288,585.96652,650.7822,0.111931507992,0.150964919125,0.0735094978183,,
URY,Uruguay,411.348919041,257.5665,350.91292,414.90812,474.09166,555.9416,0.464784846191,0.626393445527,0.379613617102,URY,18817.8749217
USA,United States of America,497.581718117,349.309,437.82768,500.18102,559.17804,639.58248,0.158571471931,0.279704259217,0.124301859852,USA,51433.0470905
VNM,Vietnam,508.218990432,381.22642,466.3128,512.82562,556.25934,614.51224,0.082459954169,0.154720371322,0.0405523489981,VNM,5000.76485438
