CODE,CNT,MATH_mean,MATH_quant_05,MATH_quant_25,MATH_quant_50,MATH_quant_75,MATH_quant_95,READ_mean,READ_quant_05,READ_quant_25,READ_quant_50,READ_quant_75,READ_quant_95,SCIE_mean,SCIE_quant_05,SCIE_quant_25,SCIE_quant_50,SCIE_quant_75,SCIE_quant_95,iso3c,GDP
ALB,Albania,394.329333356,240.31,341.5719,395.86386,449.92212,533.34632,393.964251939,202.23228,331.26524,400.97168,468.23746,555.70332,397.373213559,231.29428,345.15106,402.839550522,458.72806,539.29506,ALB,10361.4332161
ARE,United Arab Emirates,434.007164658,302.85868,370.39256,428.03396,492.06264,586.70354,441.703736076,285.442287754,377.69786,445.54242,505.9795,589.38204,448.370295863,305.853470417,383.38306,446.41924,510.29466,599.53376,ARE,61172.9947875
ARG,Argentina,388.431709907,271.3896,338.84564,386.82816,437.9265,509.6666,395.979122702,243.2217,334.64678,399.0296,460.54496,538.06962,405.632004986,271.29802,352.98396,407.25476,462.36478,534.91232,ARG,
AUS,Australia,504.150766311,353.33386,438.08226,503.66878,570.19006,659.76788,511.803997667,350.43174,450.51448,516.312789248,577.62278,658.6459,521.494746315,358.67214,455.0914,524.4685,589.64938,677.11672,AUS,42596.2941187
AUT,Austria,505.54074325,358.31906,439.71802,505.14878,571.1248,649.580602272,489.609335384,333.18992,427.73926,496.7655,556.05046,622.37132,505.781247068,352.42448,442.503858274,509.64192,569.88064,645.31892,AUT,45858.2468364
BEL,Belgium,514.745238583,346.08972,445.48218,518.07914,588.10562,674.10032,509.108048529,328.61882,445.06126,517.7175,582.83542,656.02466,505.457458843,329.95152,440.26484,514.30436,576.78106,652.21932,BEL,41930.6618333
BGR,Bulgaria,438.738259877,297.79562,373.58624,434.34334,501.56568,594.64872,436.125725279,240.40486,354.28108,443.45738,521.6274,612.89362,446.468709376,288.770136465,374.6177,448.09772,517.94108,605.31518,BGR,16097.8343137
BRA,Brazil,388.508963338,279.179,336.35304,381.06404,434.49914,524.70012,406.533157797,273.80264,350.11094,404.78436,461.89526,542.73816,401.619684839,284.53936,350.55952,398.20962,449.9627,530.34316,BRA,15246.2607663
CAN,Canada,518.070399596,375.37778,458.41252,518.39072,578.6805,659.37842,523.124002967,367.51316,467.35534,528.22016,584.53676,659.74196,525.441292143,374.15142,469.26518,528.10518,585.91944,663.96868,CAN,42143.9687843
CHE,Switzerland,530.93100395,377.79248,467.05874,534.20316,595.03818,676.51502,509.040249713,356.04536,452.91958,514.9107,571.11292,641.05666,515.297523464,362.86834,454.99816,519.99256,578.646,650.16786,CHE,57205.3721892
CHL,Chile,422.632355406,305.4292,366.1863,414.792,474.77022,559.83018,441.398163345,317.41024,389.24588,443.78502,494.1403,560.7869,444.933919695,325.38232,390.37672,441.555538756,497.42634,573.89036,CHL,21370.0993066
CHN,China-Shanghai,612.675536305,437.77068,548.4577,622.45678,683.68126,757.29086,569.588407749,436.0795,520.51536,576.4348,624.57,682.67758,580.117830848,439.51882,527.7322,588.52485553,637.20626,694.834,CHN,11219.92767
COL,Colombia,376.488601073,269.2086,327.08368,370.93784,419.46566,501.0983,403.402534102,267.7512,350.45358,404.48284,457.3677,531.6357,398.678631616,280.43642,350.37298,397.92988,444.92728,517.75456,COL,12058.4613037
CRI,Costa Rica,406.999866989,308.15548,363.53792,402.25112,446.72848,522.20752,440.54781067,322.656878675,396.30298,441.05154,487.1634,555.22672,429.350967542,326.1283,384.68856,427.76948,472.5289,540.88026,CRI,13839.4689226
CZE,Czech Republic,498.957882318,348.50444,432.55178,500.70884,564.5817,649.09644,492.889738211,350.59212,437.44278,495.25628,551.47936,627.42356,508.299079354,364.08058,448.84374,511.78664,569.88064,642.05518,CZE,28727.9072629
DEU,Germany,513.52505582,356.29382,448.20844,516.1318,581.79624,663.89624,507.676529766,349.06842,447.78788,514.91068,574.051874279,643.38226,524.120799257,365.2928,462.7378,531.08916,590.95486,664.43494,DEU,43600.1134008
DNK,Denmark,500.026756625,368.44526,444.800246398,500.55306,557.02602,630.9472,496.130881384,352.919947592,443.77816,502.07956,553.71752,623.41384,498.474201429,344.21858,441.10406,502.18204,561.48828,637.76578,DNK,44246.3306157
ESP,Spain,484.319297802,342.8182,425.77506,486.2206,545.03038,621.52206,487.939181598,332.78894,432.7441,494.462,550.06372,621.48918,496.445822824,355.78144,441.47706,500.2238,555.52032,626.7624,ESP,32235.5959173
EST,Estonia,520.545521677,392.925523736,467.2924,518.7802,574.00688,653.324430984,516.294184313,387.490531072,466.393,519.56213568,570.412691592,639.05178,541.404756164,416.139291358,490.33942,540.787,595.43082,664.99442,EST,25921.028597
FIN,Finland,518.750335283,380.75246,464.56612,519.5591,575.9542,653.61426,524.021669694,366.06968,465.83164,531.19014,588.20846,661.42596,545.441939988,391.77548,488.3812,550.4849,606.3409,682.71168,FIN,40437.5938723
FRA,France,494.984674321,332.06884,429.66974,495.87942,564.03646,648.39538,505.481483378,318.28402,437.12198,515.27292,581.99496,660.47282,498.970894151,326.59456,435.2294,505.35246,569.13464,643.36068,FRA,37462.3250299
GBR,United Kingdom,493.934230896,339.93612,430.76026,494.47734,559.51862,645.04596,499.32311513,334.31262,439.36744,503.83486,565.1556,644.42774,514.129321055,346.7363,449.30996,517.6613,583.86798,665.08766,GBR,37569.3152812
GRC,Greece,452.973426859,315.63328,393.91648,452.3368,511.38028,591.53294,477.197176518,307.36728,419.8763,486.36004,542.43834,616.35674,466.722029489,323.9836,410.33196,469.6382,524.65498,600.18648,GRC,25980.0865157
HKG,Hong Kong-China,561.241096455,393.29334,500.24146,569.25534,627.51986,704.71256,544.600085987,394.05756,494.86206,553.24364,603.04444,663.6715,554.937434396,406.88174,507.96344,562.88698,610.25738,670.96232,HKG,51274.060314
HRV,Croatia,471.131460759,339.46876481,409.18366,466.74714,529.21794,619.88626,484.565032126,342.65286,429.18276,488.1075,543.23264,617.670515678,491.356582834,357.27342,434.48342,492.11116,548.71316,621.91346,HRV,21016.0187293
HUN,Hungary,477.044455015,328.8752,412.4552,473.9913,538.72096,634.91978,488.461333958,328.93962,429.10254,494.527873949,554.51184,622.69208,494.302351222,348.41478,432.71166,496.5871,556.91904,633.75606,HUN,22701.4502235
IDN,Indonesia,375.114451682,275.90748,329.65416,368.83472,414.40256,496.58048,396.120094523,278.81806,349.2288,396.70398,444.42046,511.4623,381.911484866,280.43638,339.36964,380.02612,421.8016,490.24616,IDN,9453.69822832
IRL,Ireland,501.497460197,364.23898,446.0274,502.73406,558.19442,636.71132,523.173210241,379.06118,471.28486,527.18756,580.3494,652.76798,522.003959197,370.51476,464.22976,525.68072,584.05444,658.28048,IRL,46063.3445925
ISL,Iceland,492.795697239,344.933133394,432.857046636,494.841623906,554.903985355,635.54292,482.522439928,313.733423166,425.73438,490.2045954,549.181154839,620.939425938,478.154596195,316.43044,416.29988,480.626479858,546.1022,627.442437875,ISL,40278.3870438
ISR,Israel,466.481430149,298.644236625,393.21548,467.83766,540.9799,635.93238,485.803212444,287.23846,415.62988,499.069,567.53852,645.306938346,470.072661823,293.86422,398.150724954,473.4614,545.26298,632.357294825,ISR,31993.6238428
ITA,Italy,485.321181013,337.9109,422.81508,484.8964,548.37982,634.45242,489.754403285,321.00036,429.80514,497.63924,557.09298,629.17698,493.541481805,341.51434,432.89818,496.9601,557.75832,635.24804,ITA,35899.7799659
JOR,Jordan,385.595556396,269.67596,336.74252,381.06404,432.55178,510.52342,399.034747104,247.3016,345.21112,406.161423616,459.01512,528.8556,409.367214687,280.52966,358.01938,410.4252,460.96606,535.378596783,JOR,10432.1751003
JPN,Japan,536.406918234,381.5314,475.0818,537.94206,602.90544,680.40972,538.05148483,370.40018,477.46376,546.9083,604.88892,678.58766,546.735599775,384.12908,488.0082,554.58784,610.91008,685.50914,JPN,35735.6167173
KAZ,Kazakhstan,431.798408505,330.3552,384.41346,427.33292,474.45864,546.89984,392.736233327,274.99412,347.43518,393.81696,440.2106,503.27882,424.707522974,316.05744,377.5084,423.75978,470.10444,537.80306,KAZ,23248.9925905
KOR,Korea,553.766659144,391.19022,487.15532,557.41548,623.78096,703.77784,535.790490356,386.3564,485.23872,543.5401,594.14284,657.77216,537.787621535,400.91382,487.35544,542.18574,592.81984,656.88176,KOR,32222.5939425
LIE,Liechtenstein,534.965082979,371.561,470.05783526,540.123143477,607.598592578,676.106221996,515.521654089,367.046881984,456.970674147,516.809949815,585.086413959,643.084932756,524.694992276,396.088222994,468.379468863,525.447819811,591.537974712,654.44203272,LIE,
LTU,Lithuania,478.823277433,338.68986,419.15408,476.402804299,539.18836,623.3136,477.30661155,335.43536,420.92272,482.91308,536.32258,604.71224,495.700086397,358.5789,441.943304796,498.82508,552.72286,627.6949,LTU,24475.050751
LUX,Luxembourg,489.845098037,339.77996384,423.671919517,491.205799034,556.553016145,637.561011117,487.807042834,309.612739903,420.510025153,491.972391228,563.180724819,640.415098165,491.21517567,323.983149554,421.05558,494.251357474,564.465444762,643.99632673,LUX,90788.2865762
LVA,Latvia,490.571021411,363.964428253,433.40864,488.869,544.56302,620.66522,488.694413789,346.26162,435.17238176,496.06494,546.1716,611.70542,502.186192088,376.66914,450.3357,503.860487552,555.52032,621.72698,LVA,21122.2982149
MAC,Macao-China,538.134494734,384.647144999,477.652284997,542.148309994,603.119599963,681.110774989,508.949255421,371.763464999,459.946512779,514.054964124,563.791219737,628.045174628,520.570875334,390.236824404,471.712971017,524.235322022,573.843616084,634.68854,MAC,127938.918712
MEX,Mexico,413.281466668,302.07976,364.31686,410.50786,459.50304,534.12524,423.553761782,295.73908,373.36736,425.173,475.95458,543.21934,414.920147715,308.3178,371.07422,414.8079,458.1686,524.282,MEX,16289.5652781
MNE,Montenegro,409.626613284,290.5515,352.71071211,404.66583211,462.46298,549.435298037,422.11135427,278.49728,361.57878,423.08796,485.80402,563.80526,410.097602263,284.16636,353.823206055,407.25475211,464.8825,544.88994,MNE,13812.6959433
MYS,Malaysia,420.512967619,302.381478347,362.99268,415.64884,471.34288,557.41546,398.196059788,263.42068,345.29928,401.35522,454.7465,522.76974,419.502648534,300.57816,365.66584,418.53786,470.38418,544.51698,MYS,23124.6604806
NLD,Netherlands,522.971758193,370.23676,457.78938,528.98428,590.67612,661.94892,511.229965245,353.8801,451.80752,520.12332,577.46238,643.70306,522.055821726,359.51138,458.82136,528.57144,589.27638,660.89146,NLD,46448.8847992
NOR,Norway,489.373070349,347.10236,428.8129,490.58264,550.24926,633.59556,503.936685996,334.55322,445.06126,510.49998,571.8278,648.87588,494.523934741,332.749,431.68594,499.01158,561.30176,644.29316,NOR,65399.8360847
NZL,New Zealand,499.749902828,344.37608,429.510807139,497.4373,569.09954,662.26048,512.186793323,340.32722,445.06126,518.21184,585.64224,670.40168,515.636318701,346.64304,446.23274,518.03432,589.649388789,676.091,NZL,33065.5112359
PER,Peru,368.102547127,245.84048,311.58282,363.38214,417.5183,512.78236,384.151223462,242.90396,321.22296,384.6089,443.07014,530.6031,373.113448374,257.8702,323.51734,370.14174,421.42856,496.49386,PER,11051.2537714
POL,Poland,517.501096818,378.80512,455.29678,514.41814,579.69312,664.83098,518.186880549,372.88622,464.9495,523.53376,576.67308,646.81066,525.816445438,387.39276,469.17196,527.3592,581.62998,662.38344,POL,23598.5592764
PRT,Portugal,487.063181344,336.97614,421.6467,487.8564,553.91028,634.06294,487.757687223,326.85456,432.82352,493.97994,552.04948,623.2991,489.274731982,339.46288,431.96568,492.5774,550.1119,623.40544,PRT,27125.1544348
QAT,Qatar,376.448398635,241.329114242,306.5197,361.811292417,436.2907,557.817966198,387.504130932,214.020861667,311.77798,385.224274978,461.81584,569.011279675,383.642553387,235.879042176,312.14098,371.524950878,448.867046317,568.963761336,QAT,135421.723986
QRS,Perm(Russian Federation),483.580030803,348.81604,426.39818,481.78066,541.034027972,631.72614,482.309621403,324.00304,424.61168,490.69194,546.25102,615.99142,479.859030777,345.33756,427.58298,484.27824,536.31106,607.55318,,
QUA,Florida (USA),466.803290749,336.353,408.09316,463.70928,524.54434,609.91588,492.137602029,352.91778,437.58938,496.20948,550.11604,623.8551,484.996823663,340.30212,422.73408,484.83774,546.66166,627.1354,,
QUB,Connecticut (USA),505.775264872,346.32342,432.86338,507.40766,575.17526,665.9215,521.248559061,353.07816,457.4914,527.267,589.77924,667.8416,520.760148398,359.13836,457.2361,523.3495,586.47892,674.50578,,
QUC,Massachusetts (USA),513.514056998,362.68112,445.48218,511.76976,581.40674,672.0751,527.091021267,365.10732,467.19496,527.7418,592.87702,670.80878,527.406936739,373.59194,462.45804,529.22416,590.39538,678.23574,,
ROU,Romania,444.554242788,332.14678,387.45132,438.00438,494.9447,582.34148,437.599488277,300.22998,377.85826,437.98654,496.92434,578.82574,438.768056212,324.72958,385.24804,434.20366,488.94068,564.8452,ROU,18910.2782732
RUS,Russian Federation,482.169415663,346.5571,423.20454,480.76802,538.8768,620.58732,475.149374067,330.4633,417.57278,476.66944,535.28006,612.8142,486.295489965,355.12868,430.75344,486.98248,541.71952,621.54046,RUS,25316.6357857
SGP,Singapore,573.468314297,396.01964,501.79934,578.99206,649.20328322,732.988,542.215834174,374.52116,476.8283,548.91314,612.33762,690.85742,551.493156643,376.38942,479.14954,559.53004,625.6434,707.42262,SGP,77173.2382951
SRB,Serbia,448.859130248,311.42704,387.91866,444.46956,507.55093473,599.16654,446.130195516,294.69654,387.366315569,447.4671,506.65064,589.38204,444.804110871,310.18278,388.232,441.75682,501.3428,582.1895,SRB,13000.0732947
SVK,Slovak Republic,481.644744006,319.45006,413.07836,480.37856,551.96292,642.39758,462.76703277,275.2895,395.80866,472.85674,535.19988,614.00566,471.193177266,306.73256,404.73704,473.0884,540.22752,626.38942,SVK,26091.2798285
SVN,Slovenia,501.127422391,361.279,434.9665,498.422397405,565.98376,653.06902,481.316283492,329.01982,421.663440922,484.61254,547.38944,618.61266,514.142554966,368.5565,450.98844,515.390428679,577.15406,653.80454,SVN,28481.7513144
SWE,Sweden,478.260635903,334.48358,415.49308,479.59964,540.9799,620.89886,483.335005574,304.56048,418.99804,490.69192,557.60964,637.575348877,484.798965809,321.09288,420.49608,488.1947,552.25662,636.36702,SWE,44433.7266902
THA,Thailand,426.737491293,309.24598,373.041,419.46564,473.446,573.22792,441.21993431,316.42924,392.0754,442.27582,491.04646,562.22544,443.999935089,331.53674,395.1324,440.07834,489.87316,568.4819,THA,14853.3296826
TUN,Tunisia,387.82462962,273.2591,335.5741,382.77768,433.72022,516.1318,404.07846725,261.1731,350.59212,408.89352,462.2229,532.03286,398.046450919,275.86722,348.41476,398.02314,447.72474,515.14362,TUN,10672.5676007
TUR,Turkey,447.984414979,319.76162,383.24504,437.22542,504.36984,609.9159,475.491466081,340.40742,419.47922,474.17188,531.15912,613.68794,463.412909073,347.01604,409.58598,456.76986,515.7031,596.64304,TUR,18449.250016
TWN,Chinese Taipei,559.824796202,366.73158,478.35334,568.00902,644.57858,732.20908,523.118903908,364.38558,468.5675,532.31288,585.96652,650.7822,523.314904451,384.2223,470.29092,529.78366,580.884,644.19992,,
URY,Uruguay,409.291567938,274.73906,348.50444,406.14582,468.46082,554.29974,411.348919041,257.5665,350.91292,414.90812,474.09166,555.9416,415.84293549,266.26258,355.68816,415.18094,477.0981,563.53972,URY,18817.8749217
USA,United States of America,481.366786279,341.88348,417.5962,477.10702,541.13568,631.25876,497.581718117,349.309,437.82768,500.18102,559.17804,639.58248,497.409811483,346.64306,431.9657,497.79934,561.2085,647.46364,USA,51433.0470905
VNM,Vietnam,511.338207501,373.9757,455.3747,510.835,566.1396,652.44588,508.218990432,381.22642,466.3128,512.82562,556.25934,614.51224,528.423258987,402.7788,481.48076,530.9959,576.40806,647.27714,VNM,5000.76485438
